currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,item_variant
EUR,catalog,1,gamba-blanca-cruda-congelado-carrefour-extra-400-g,287102,8431876207071,7.35,carrefour,cat20002-productos-frescos,1,287102,577501577,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,pate-de-jamon-classic-carrefour-sin-gluten-y-sin-lactosa-160-g,044270,8431876268737,1.11,carrefour,cat20002-productos-frescos,1,044270,prod930007,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,mini-palmerita-de-mantequilla-175-g,875843,5411823864925,3.75,,cat20002-productos-frescos,1,875843,793756265,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,ravioli-4-quesos-buitoni-230-g,462931,8001665724203,3.19,buitoni,cat20002-productos-frescos,1,462931,vc4aecomm-462931,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,5,chorizo-de-pavo-en-lonchas-carrefour-el-mercado-2x75-g,469100,8431876290035,2.75,carrefour,cat20002-productos-frescos,1,469100,vc4aecomm-469100,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,viruta-de-patata-carrefour-250-g,530498,8431876309096,3.95,carrefour,cat20002-productos-frescos,1,530498,525973474,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,7,pepitos-con-crema-de-cacao-carrefour-envase-4-ud,011123,2968062000001,3.25,,cat20002-productos-frescos,1,011123,711901713,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,hamburguesas-de-vacuno-ecologica-carrefour-bio-2x120-g,126474,8431876272970,3.69,carrefour-bio,cat20002-productos-frescos,1,126474,prod1070059,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,salchichas-alemanas-cocidas-y-ahumadas-estilo-baviera-campofrio-sin-gluten-260-g,002839,8410320004374,2.65,campofrio,cat20002-productos-frescos,1,002839,521031131,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,pechuga-de-pollo-marinada-al-ajillo-en-filetes-carrefour-500-g-aprox,630184,2999604000005,3.59,carrefour,cat20002-productos-frescos,1,630184,vc4aecomm-630184,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,tomate-raff-carrefour-500-g,646325,8431876304329,2.69,carrefour,cat20002-productos-frescos,1,646325,vc4aecomm-646325,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,mortadela-ahumada-mrm-170-g-aprox,262634,2921851000002,1.44,mrm,cat20002-productos-frescos,1,262634,590504300,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,13,pan-tostado-ortiz-320-g,001628,8412600037355,2.85,ortiz,cat20002-productos-frescos,1,001628,521002611,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,paleta-curada-reserva-carrefour-taco-de-200-g,182488,2986034000002,4.25,carrefour,cat20002-productos-frescos,1,182488,871400632,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,medallon-de-babilla-de-vacuno-angus-carrefour-selection-400-g-aprox,007138,2956270000005,8.76,carrefour,cat20002-productos-frescos,1,007138,vc4aecomm-007138,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,bacon-ahumado-en-lonchas-el-pozo-pack-de-2-unidades-de-180-g-envase-de-360-g,194807,8410843128175,5.25,el-pozo,cat20002-productos-frescos,1,194807,590503030,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,queso-rallado-grana-padano-galbani-60-g,869559,8000430393361,2.69,galbani,cat20002-productos-frescos,1,869559,782730765,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,mini-ensaimada-de-azucar-carrefour-6-ud,035769,2902205000008,3.15,,cat20002-productos-frescos,1,035769,525964545,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,solomillo-de-pechuga-de-pollo-extra-carrefour-500-g-aprox,047280,2951355000000,3.99,carrefour,cat20002-productos-frescos,1,047280,521032635,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,bacalao-15-kg-aprox,234919,2921308000005,14.93,,cat20002-productos-frescos,1,234919,531505549,carrefour,carrefour,home_delivery|drive,,entero|entero-limpio|rodajas|filetes-sin-piel
EUR,catalog,21,queso-fresco-de-burgos-el-ventero-1-kg,388851,8410285542683,6.79,el-ventero,cat20002-productos-frescos,1,388851,700507675,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,salami-alharce-campofrio-al-corte-250-g-aprox,003770,2901042000004,4.74,campofrio,cat20002-productos-frescos,1,003770,609800532,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,23,jamon-curado-en-taquitos-navidul-sin-gluten-pack-de-2-unidades-de-60-g,802571,2965592000006,2.69,navidul,cat20002-productos-frescos,1,802571,625801612,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,salmon-ahumado-noruego-marinado-carrefour-extra-100-g,472779,8431876104998,4.29,carrefour,cat20002-productos-frescos,1,472779,521016506,carrefour,carrefour,home_delivery|drive,,
