currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,coupon,discount
EUR,catalog,1,ensalada-pasta-y-rucula-carrefour-320-g,988651,8431876251180,3.19,carrefour,cat20002-productos-frescos,1,988651,844803401,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,pechuga-de-pavo-ecologica-en-lonchas-carrefour-bio-sin-gluten-90-g,625764,8431876299540,3.35,carrefour-bio,cat20002-productos-frescos,1,625764,vc4aecomm-625764,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,3,burguer-brioche-lord-dani-selection-2-ud,306320,8431876350883,1.88,carrefour,cat20002-productos-frescos,1,306320,vc4aecomm-306320,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,4,hamburguesa-de-picana-angus-de-vacuno-carrefour-seleccion-lord-dani-300-g,280794,8431876350456,5.29,carrefour-seleccion,cat20002-productos-frescos,1,280794,vc4aecomm-280794,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,5,hueso-garron-de-cerdo-carrefour-el-mercado-250-g-aprox,531801,2907325000006,1.0,carrefour,cat20002-productos-frescos,1,531801,vc4aecomm-531801,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,6,contramuslo-de-pollo-fileteado-carrefour-700-g-aprox,115714,2952103000006,4.58,carrefour,cat20002-productos-frescos,1,115714,526626986,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,7,media-hogaza-de-pan-integral-de-trigo-espelta-carrefour-el-mercado-400-g,516203,8431876310399,1.94,carrefour,cat20002-productos-frescos,1,516203,vc4aecomm-516203,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,8,butifarra-fresca-extra-de-cerdo-enrollada-carrefour-700-g,550788,8431876294422,3.89,carrefour,cat20002-productos-frescos,1,550788,vc4aecomm-550788,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,9,trucha-asalmonada-circulo-de-calidad-600-g-aprox,349382,2994929000006,5.37,circulo-de-calidad,cat20002-productos-frescos,1,349382,fprod1370189,carrefour,carrefour,home_delivery|drive,entero|entero-limpio,,
EUR,catalog,10,cebolla-francesa-carrefour-el-mercado-500-g,795913,8431876150339,1.65,carrefour,cat20002-productos-frescos,1,795913,521031807,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,11,queso-cheddar-y-samsoe-en-dados-especial-ensaladas-carrefour-200-g,513736,8431876114270,1.74,carrefour,cat20002-productos-frescos,1,513736,521030784,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,12,fiambre-de-pechuga-de-pollo-campofrio-sin-gluten-sin-lactosa-80-g,695945,8410320187862,0.99,campofrio,cat20002-productos-frescos,1,695945,vc4aecomm-695945,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50,
EUR,catalog,13,tomate-azul-a-granel-500-g-aprox,841327,2990072000009,2.07,,cat20002-productos-frescos,1,841327,prod620041,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,14,nabo-granel-1-kg-aprox,254082,2959947000001,2.49,,cat20002-productos-frescos,1,254082,vc4aecomm-254082,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,15,patas-de-pulpo-cocido-carrefour-el-mercado-270-g,335273,8431876351583,11.95,el-mercado,cat20002-productos-frescos,1,335273,vc4aecomm-335273,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,16,filetes-de-centro-de-lomo-de-cerdo-540-g-aprox,047332,2903607000009,3.72,carrefour,cat20002-productos-frescos,1,047332,521032953,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,17,queso-fresco-de-cabra-campolindo-250-g,480061,8410285103525,2.99,campolindo,cat20002-productos-frescos,1,480061,vc4aecomm-480061,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,18,rosquillas-fritas-400-g,560182,8436026538272,4.49,,cat20002-productos-frescos,1,560182,607402849,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,19,salchichon-extra-en-lonchas-carrefour-el-mercado-2x120-g,248781,8431876345308,2.25,el-mercado,cat20002-productos-frescos,1,248781,vc4aecomm-248781,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,20,mini-medias-noches-carrefour-255-g,147925,2961548000007,1.99,carrefour,cat20002-productos-frescos,1,147925,538003196,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,21,carne-de-pavo-para-estofado-carrefour-600-g-aprox,039569,2991945000003,4.55,carrefour,cat20002-productos-frescos,1,039569,prod920165,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,22,filete-1-a-de-cadera-o-babilla-de-anojo-circulo-de-calidad-550-g-aprox,126608,2992721000002,7.95,circulo-de-calidad,cat20002-productos-frescos,1,126608,prod1070081,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_super-precio,3.32
EUR,catalog,23,chorizo-de-pamplona-en-lonchas-carrefour-el-mercado-2x1125-g,084413,8431876329803,2.15,carrefour,cat20002-productos-frescos,1,084413,vc4aecomm-084413,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,24,champinon-laminado-carrefour-bio-300-g-aprox,271620,2993996000001,2.98,carrefour-bio,cat20002-productos-frescos,1,271620,fprod1220113,carrefour,carrefour,home_delivery|drive,,,
