currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,item_variant
EUR,catalog,1,preparado-con-aceite-de-coco-y-vitamina-b12-en-lonchas-violife-sin-gluten-y-sin-lactosa-200-g,253419,5202390015878,3.85,violife,cat20002-productos-frescos,1,253419,fprod1200167,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,alas-de-pollo-carrefour-500-g-aprox,887247,2976931000007,3.34,carrefour,cat20002-productos-frescos,1,887247,791562923,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,magdalena-con-pepitas-de-chocolate-carrefour-450-g,504869,2901532000002,3.99,,cat20002-productos-frescos,1,504869,vc4aecomm-504869,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,pan-tostado-schr-sin-gluten-y-sin-lactosa-260-g,815280,8008698002056,5.39,schar,cat20002-productos-frescos,1,815280,651303669,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,torreznos-sabor-jamon-iberico-carrefour-el-mercado-125-g,413920,8431876355499,2.95,carrefour,cat20002-productos-frescos,1,413920,vc4aecomm-413920,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,6,manzana-golden-ecologica-bandeja-4-ud-750-g,281634,8008757000016,2.85,carrefour-bio,cat20002-productos-frescos,1,281634,589705758,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,pan-campeonato-fricopan-spanien-750-g,433588,4260329090977,1.88,,cat20002-productos-frescos,1,433588,vc4aecomm-433588,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,queso-parmigiano-reggiano-dop-extra-carrefour-150-g,207993,8431876337211,6.29,carrefour,cat20002-productos-frescos,1,207993,vc4aecomm-207993,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,9,arroz-tres-delicias-carrefour-el-mercado-350-g,748029,8431876311990,3.55,carrefour,cat20002-productos-frescos,1,748029,525888285,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,berenjena-carrefour-bio-2-piezas,376873,8431876283921,2.39,carrefour-bio,cat20002-productos-frescos,1,376873,fprod1450030,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,pan-rustico-redondo-airos-sin-gluten-y-sin-lactosa-85-g,540494,8436574640472,1.09,,cat20002-productos-frescos,1,540494,vc4aecomm-540494,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,queso-rallado-emmental-ecologico-carrefour-bio-200-g,435090,3560071082017,2.55,carrefour-bio,cat20002-productos-frescos,1,435090,vc4aecomm-435090,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,queso-gouda-en-lonchas-light-carrefour-classic-200-g,791591,3560070418176,3.39,carrefour,cat20002-productos-frescos,1,791591,521030630,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,queso-parmigiano-reggiano-galbani-60-g,460435,8000430392661,2.95,galbani,cat20002-productos-frescos,1,460435,521036256,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,queso-mozzarella-carrefour-classic-sin-lactosa-125-g,434542,8431876351866,1.65,carrefour,cat20002-productos-frescos,1,434542,vc4aecomm-434542,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,ajo-puerro-tierno-grande--manojo-de-150-g,176737,8436548451097,1.85,,cat20002-productos-frescos,1,176737,522714026,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,jamoncitos-de-pollo-congelado-1-kg,413333,5760725231268,3.09,,cat20002-productos-frescos,1,413333,fprod1480186,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,sardinas-1-kg-aprox,033684,2901967000004,4.95,,cat20002-productos-frescos,1,033684,540001614,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,cabeza-de-cerdo-iberica-con-pistachos-al-corte-frial-sin-gluten-y-sin-lactosa-250-g-aprox,067961,2951707000009,4.24,,cat20002-productos-frescos,1,067961,590501682,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,20,jamon-cocido-extra-en-lonchas-extrafinas-carrefour-el-mercado-sin-gluten-100-g,164404,8431876341416,2.59,carrefour,cat20002-productos-frescos,1,164404,vc4aecomm-164404,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,21,queso-fresco-desnatado-burgo-de-arias-sin-gluten-pack-de-3-unidades-de-72-g,406599,8413100611182,3.19,burgo-de-arias,cat20002-productos-frescos,1,406599,521030573,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,22,empanada-de-hojaldre-de-atun-600-g,121821,8431876309430,5.49,carrefour,cat20002-productos-frescos,1,121821,566001532,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,hamburguesa-de-vacuno-anojo-circulo-de-calidad-4x90-g,813770,8431876325171,4.99,circulo-de-calidad,cat20002-productos-frescos,1,813770,vc4aecomm-813770,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,costilla-de-vacuno-carrefour-el-mercado-250-g-aprox,497251,2909488000008,7.12,el-mercado,cat20002-productos-frescos,1,497251,vc4aecomm-497251,carrefour,carrefour,home_delivery|drive,,
