currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,item_variant,discount
EUR,catalog,1,queso-iberico-curado-extra-carrefour-cuna-cortada-250-g,080578,8431876347135,5.35,carrefour,cat20002-productos-frescos,1,080578,vc4aecomm-080578,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,chuleton-de-vacuno-carrefour-el-mercado-600-g-aprox,133775,2945917000003,9.49,el-mercado,cat20002-productos-frescos,1,133775,vc4aecomm-133775,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,3,salchichon-extra-en-lonchas-extrafinas-carrefour-el-mercado-sin-gluten-100-g,164444,8431876341362,3.15,carrefour,cat20002-productos-frescos,1,164444,vc4aecomm-164444,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,4,ravioli-4-quesos-buitoni-230-g,462931,8001665724203,3.19,buitoni,cat20002-productos-frescos,1,462931,vc4aecomm-462931,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,5,filete-de-merluza-carrefour-el-mercado-300-g-aprox,342397,2981821000005,6.51,carrefour,cat20002-productos-frescos,1,342397,vc4aecomm-342397,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,6,lasana-de-salmon-y-brocoli-gratinada-350-g,491012,8437017830948,3.55,,cat20002-productos-frescos,1,491012,vc4aecomm-491012,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,7,codillo-de-jamon-asado-tello-600-g,463137,8431876277265,6.99,carrefour,cat20002-productos-frescos,1,463137,794041166,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,8,lacon-cocido-braseado-de-el-bierzo-la-encina-150-g-aprox,471099,2934640000008,2.3,,cat20002-productos-frescos,1,471099,590506930,carrefour,carrefour,home_delivery|drive,,corte-fino|corte-grueso|corte-normal,
EUR,catalog,9,paleta-de-cebo-iberica-50-raza-iberica-en-lonchas-nico-90-g,137429,8427926108177,4.99,,cat20002-productos-frescos,1,137429,vc4aecomm-137429,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,,0.66
EUR,catalog,10,pate-de-higado-de-cerdo-tapa-negra-la-piara-pack-de-6-unidades-de-75-g,241681,8412500333076,6.45,la-piara,cat20002-productos-frescos,1,241681,589704806,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,11,bunuelos-de-bacalao-congelados-carrefour-el-mercado-400-g,792206,8431876144024,2.95,carrefour,cat20002-productos-frescos,1,792206,525888337,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,12,hierbabuena--manojo-de-100-g,083474,8436018611051,1.39,,cat20002-productos-frescos,1,083474,521031671,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,13,lonchas-vegetarianas-con-verduras-y-aceitunas-carrefour-veggie-sin-gluten-y-sin-lactosa-100-g,697201,8431876277821,1.35,carrefour,cat20002-productos-frescos,1,697201,vc4aecomm-697201,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,14,pan-de-molde-con-semillas-de-amapola-rebanado-450-g,875063,8431876299458,1.6,carrefour,cat20002-productos-frescos,1,875063,785113119,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,15,queso-fresco-de-vaca-rulo-en-medallones-carrefour-classic-pack-de-2-unidades-de-100-g,118267,8431876316940,2.25,carrefour,cat20002-productos-frescos,1,118267,vc4aecomm-118267,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,16,chopped-de-pavo-en-lonchas-carrefour-el-mercado-sin-gluten-250-g,710860,8431876282627,2.29,carrefour,cat20002-productos-frescos,1,710860,vc4aecomm-710860,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,17,cuartos-de-pollo-congelado-2-kg,413317,5760725231282,5.59,,cat20002-productos-frescos,1,413317,fprod1480185,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,18,longaniza-blanca-fresca-de-cerdo-iberico-carrefour-400-g-aprox,612714,2999189000001,5.28,carrefour,cat20002-productos-frescos,1,612714,vc4aecomm-612714,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,19,salpicon-de-marisco-con-vinagreta-carrefour-el-mercado-400-g,436889,8431876356823,4.95,,cat20002-productos-frescos,1,436889,vc4aecomm-436889,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,20,queso-azul-de-bresse-carrefour-250-g,683479,3560070370344,4.25,carrefour,cat20002-productos-frescos,1,683479,prod73069,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,21,jamoncitos-de-pollo-certificado-carrefour-600-g-aprox,094666,2992452000005,3.17,carrefour,cat20002-productos-frescos,1,094666,prod1020234,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,22,pechuga-de-pavo-cocida-sabor-ahumado-en-petalos-noel-sin-gluten-y-sin-lactosa-90-g,714166,8410783342624,2.79,,cat20002-productos-frescos,1,714166,vc4aecomm-714166,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,23,merluza-en-filete-1-kg-aprox,234644,2921220000008,15.95,,cat20002-productos-frescos,1,234644,prod395352,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,24,freson-tarrina-1-kg,083465,8400049004427,2.98,,cat20002-productos-frescos,1,083465,521034237,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_precio-imbatible,,0.31
