currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon
EUR,catalog,1,ambientador-perlas-perlas-perfumadas-ropa-limpia-essential-carrefour-1-ud,667700,3560071401498,1.45,carrefour-essential,cat20005-limpieza-y-hogar,1,667700,vc4aecomm-667700,carrefour,carrefour,home_delivery|drive,
EUR,catalog,2,panuelos-faciales-balsam-kleenex-8-ud,446054,5029053002033,2.25,kleenex-balsam,cat20005-limpieza-y-hogar,1,446054,vc4aecomm-446054,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,3,lavavajillas-a-mano-desengrasante-frutos-rojos-carrefour-expert-1-l,490137,3560071241575,1.45,carrefour,cat20005-limpieza-y-hogar,1,490137,vc4aecomm-490137,carrefour,carrefour,home_delivery|drive,
EUR,catalog,4,perfumador-para-la-ropa-azul-flor-36-lavados,066737,8410104910891,5.39,flor,cat20005-limpieza-y-hogar,1,066737,vc4aecomm-066737,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,5,limpiahogar-limon-don-limpio-13-l,009147,5410076681525,3.35,don-limpio,cat20005-limpieza-y-hogar,1,009147,vc4aecomm-009147,carrefour,carrefour,home_delivery|drive,
EUR,catalog,6,detergente-liquido-limpieza-profunda-skip-45-lavados,309074,8720181413353,14.75,skip-ultimate,cat20005-limpieza-y-hogar,1,309074,vc4aecomm-309074,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_6-dto
EUR,catalog,7,quitamanchas-gold-oxi-action-vanish-960-g,560020,8410104916381,11.35,vanish,cat20005-limpieza-y-hogar,1,560020,vc4aecomm-560020,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,8,discos-wc-activos-inodoros-frescor-marino-aparato--recambio-pato-1-ud,462959,5000204339161,1.99,pato-wc,cat20005-limpieza-y-hogar,1,462959,prod392242,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,9,set-de-10-vasos-de-sidra-reutilizables-55-cl,026105,8410474177016,2.05,,cat20005-limpieza-y-hogar,1,026105,vc4aecomm-026105,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,ambientador-de-varillas-colonia-carrefour-45-ml,841336,8431876264357,2.45,carrefour,cat20005-limpieza-y-hogar,1,841336,prod620020,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,fregasuelos-multidesinfeccion-sanicentro-15-l,949713,8410931013253,2.85,,cat20005-limpieza-y-hogar,1,949713,816856500,carrefour,carrefour,home_delivery|drive,
EUR,catalog,12,ambientador-spray-lavanda-essential-carrefour-300-ml,627428,3560071271800,1.15,carrefour-essential,cat20005-limpieza-y-hogar,1,627428,vc4aecomm-627428,carrefour,carrefour,home_delivery|drive,
EUR,catalog,13,detergente-gel-extra-frescor-nenuco-colon-60-lavados,812208,8410104032463,14.55,colon,cat20005-limpieza-y-hogar,1,812208,638601880,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,14,toallitas-multiusos-aroma-limon-carrefour-80-ud,095474,3560071236816,2.25,simpl,cat20005-limpieza-y-hogar,1,095474,696405372,carrefour,carrefour,home_delivery|drive,
EUR,catalog,15,set-2-bayetas-suave-ultra-fresh-con-microfibras-vileda,154810,4023103189768,2.85,vileda,cat20005-limpieza-y-hogar,1,154810,2011985972,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,16,limpiador-multisuperficies-oxigeno-activo-carrefour-expert-1-l,799700,3560071425388,1.35,carrefour-expert,cat20005-limpieza-y-hogar,1,799700,vc4aecomm-799700,carrefour,carrefour,home_delivery|drive,
EUR,catalog,17,bolsa-basura-perfumada-autocierre-de-plastico-reciclado-30l-15-ud-alfapac---lila,519077,8411921510936,2.3,alfapac,cat20005-limpieza-y-hogar,1,519077,vc4a-29639210,carrefour,carrefour,home_delivery|drive,
EUR,catalog,18,set-50-platos-de-carton-18-cm-carrefour-home,349292,3616958011554,2.65,carrefour-home,cat20005-limpieza-y-hogar,1,349292,vc4aecomm-349292,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,colgador-wc-poder-activo-natura-bref-3-ud,144170,8015100570164,4.35,bref,cat20005-limpieza-y-hogar,1,144170,prod251129,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,gel-para-lavavajillas-anti-grasa-excellence-duo-gel-somat-50-lavados,881248,8410436388368,10.59,somat-gel,cat20005-limpieza-y-hogar,1,881248,787642307,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,21,limpiacristales-cristalino-recambio-cristasol-750-ml,199255,8437014689112,2.55,cristasol,cat20005-limpieza-y-hogar,1,199255,521002259,carrefour,carrefour,home_delivery|drive,
EUR,catalog,22,borrador-magico-carrefour-expert-3-ud,035544,3560071408206,1.45,carrefour,cat20005-limpieza-y-hogar,1,035544,vc4aecomm-035544,carrefour,carrefour,home_delivery|drive,
EUR,catalog,23,recogedor-plegable-carrefour---gris,520518,3609231726849,4.69,carrefour,cat20005-limpieza-y-hogar,1,520518,2013790045,carrefour,carrefour,home_delivery|drive,
EUR,catalog,24,complemento-textil-limpieza-elimina-olores-carrefour-expert-15-l,621354,8431876300758,3.65,carrefour-expert,cat20005-limpieza-y-hogar,1,621354,vc4aecomm-621354,carrefour,carrefour,home_delivery|drive,
