currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping
EUR,catalog,1,desodorante-en-spray-antitranspirante-invisible-pure-rexona-200-ml,814465,8720181214011,3.65,rexona,cat20004-perfumeria-e-higiene,1,directo/sobre-producto/_6-dto,814465,vc4aecomm-814465,carrefour,carrefour,home_delivery|drive
EUR,catalog,2,dentifrico-infantil-de-mas-de-7-anos-carrefour-75-ml,436281,3560071226442,0.98,carrefour-kids,cat20004-perfumeria-e-higiene,1,,436281,vc4aecomm-436281,carrefour,carrefour,home_delivery|drive
EUR,catalog,3,mascarilla-capilar-3-en-1-hair-food-sandia-revitalizante-para-cabello-apagado-garnier-fructis-390-ml,625191,3600542389389,6.95,garnier-fructis-hair-food,cat20004-perfumeria-e-higiene,1,directo/sobre-producto/_2x1-acumula,625191,vc4aecomm-625191,carrefour,carrefour,home_delivery|drive
EUR,catalog,4,jabon-de-manos-rosa-mosqueta-babaria-500-ml,347913,8410412027038,2.35,babaria,cat20004-perfumeria-e-higiene,1,,347913,594301555,carrefour,carrefour,home_delivery|drive
EUR,catalog,5,recambios-gillettelabs-4-ud,080712,7702018605378,18.95,gillette-labs,cat20004-perfumeria-e-higiene,1,directo/sobre-producto/_3x2,080712,vc4aecomm-080712,carrefour,carrefour,home_delivery|drive
EUR,catalog,6,tampones-super-compak-tampax-36-ud,752992,8006540467992,7.01,tampax,cat20004-perfumeria-e-higiene,1,directo/sobre-producto/_2-unidad--50,752992,521000532,carrefour,carrefour,home_delivery|drive
EUR,catalog,7,champu-con-extracto-de-magnolia-silver-shine-science-300-ml,681119,8431876299847,2.19,lcs---science---kera,cat20004-perfumeria-e-higiene,1,,681119,vc4aecomm-681119,carrefour,carrefour,home_delivery|drive
EUR,catalog,8,gel-de-ducha-exfoliante-carrefour-500-ml,141086,8431876271621,2.85,carrefour,cat20004-perfumeria-e-higiene,1,,141086,prod1070654,carrefour,carrefour,home_delivery|drive
EUR,catalog,9,desodorante-roll-on-dermo-invisible-48h-antitranspirante-sanex-pack-de-2-unidades-de-50-ml,680079,8718951463356,3.95,sanex,cat20004-perfumeria-e-higiene,1,,680079,521028415,carrefour,carrefour,home_delivery|drive
EUR,catalog,10,compresas-ultra-finas-con-alas-noche-teen-night--carrefour-12-ud,950960,3560070324835,1.8,carrefour,cat20004-perfumeria-e-higiene,1,,950960,819114700,carrefour,carrefour,home_delivery|drive
