currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,coupon
EUR,catalog,1,cocktail-de-picos-de-pan-integrales-carrefour-el-mercado-500-g,810799,8431876295382,2.54,carrefour,cat20002-productos-frescos,1,810799,636102268,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,lasana-bolonesa-gratinada-carrefour-el-mercado-700-g,554200,8431876307788,4.6,carrefour,cat20002-productos-frescos,1,554200,vc4aecomm-554200,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,pan-de-trigo-sarraceno-5-1-ud,315948,2967458000007,2.36,,cat20002-productos-frescos,1,315948,663701813,carrefour,carrefour,home_delivery|drive,pieza|rebanada-fina|rebanada-mediana|rebanada-gruesa,
EUR,catalog,4,chuleta-de-pavo-marinada-carrefour-el-mercado-500-g-aprox,190893,2944046000007,4.19,carrefour,cat20002-productos-frescos,1,190893,vc4aecomm-190893,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,queso-edam-carrefour-455-g,308336,8431876349184,4.09,carrefour,cat20002-productos-frescos,1,308336,vc4aecomm-308336,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,6,higado-de-ternera-fileteado-carnicas-meca-550-g,289094,2960783000001,5.33,carrefour,cat20002-productos-frescos,1,289094,607902116,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,salchicha-hot-dog-campofrio-sin-gluten-sin-lactosa-1-kg,324900,8410320185257,4.69,campofrio,cat20002-productos-frescos,1,324900,685011194,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,queso-de-mezcla-curado-classic-carrefour-340-g,422016,8431876351958,3.95,carrefour,cat20002-productos-frescos,1,422016,vc4aecomm-422016,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,callos-a-la-madrilena-de-nuestra-tierra-500-g,446188,8431876281804,3.95,de-nuestra-tierra,cat20002-productos-frescos,1,446188,vc4aecomm-446188,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,queso-fresco-burrata-toscanella-150-g,284915,8436039431423,3.95,toscanella,cat20002-productos-frescos,1,284915,prod830208,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,entrecot-de-lomo-de-cerdo-iberico-marinado-legado-iberico-300-g,356016,8410843148036,5.99,,cat20002-productos-frescos,1,356016,vc4aecomm-356016,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,burger-picada-de-pavo-carrefour-400-g,451188,8431876288995,4.4,carrefour,cat20002-productos-frescos,1,451188,vc4aecomm-451188,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,queso-tierno-light-en-lonchas-el-ventero-200-g,590741,8410633013582,4.29,el-ventero,cat20002-productos-frescos,1,590741,521030539,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2x1-acumula
EUR,catalog,14,queso-iberico-semicurado-extra-carrefour-cuna-cortada-250-g,080576,8431876347104,5.15,carrefour,cat20002-productos-frescos,1,080576,vc4aecomm-080576,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,longaniza-fresca-estilo-criollo-carrefour-el-mercado-320-g-aprox,522688,2900567000001,2.5,carrefour,cat20002-productos-frescos,1,522688,vc4aecomm-522688,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,cappelletti-jamon-buitoni-230-g,462930,8001665724166,3.19,buitoni,cat20002-productos-frescos,1,462930,vc4aecomm-462930,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,17,mini-palmerita-de-mantequilla-175-g,875843,5411823864925,3.75,,cat20002-productos-frescos,1,875843,793756265,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,pate-de-jamon-classic-carrefour-sin-gluten-y-sin-lactosa-160-g,044270,8431876268737,1.11,carrefour,cat20002-productos-frescos,1,044270,prod930007,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,queso-rallado-grana-padano-galbani-60-g,869559,8000430393361,2.69,galbani,cat20002-productos-frescos,1,869559,782730765,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,paleta-curada-reserva-carrefour-taco-de-200-g,182488,2986034000002,4.45,carrefour,cat20002-productos-frescos,1,182488,871400632,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,magdalena-con-aceite-de-oliva-carrefour-450-g,504879,2901531000003,3.69,,cat20002-productos-frescos,1,504879,vc4aecomm-504879,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,gamba-blanca-cruda-congelado-carrefour-extra-400-g,287102,8431876207071,7.35,carrefour,cat20002-productos-frescos,1,287102,577501577,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,pechuga-de-pollo-marinada-al-ajillo-en-filetes-carrefour-500-g-aprox,630184,2999604000005,3.59,carrefour,cat20002-productos-frescos,1,630184,vc4aecomm-630184,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,fuet-mini-campofrio-snackin-50-g,695368,8410320224116,1.69,campofrio,cat20002-productos-frescos,1,695368,vc4aecomm-695368,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
