currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,item_variant
EUR,catalog,1,canelones-de-carne-setas-y-boletus-carrefour-el-mercado-350-g,554201,8431876294446,3.3,carrefour,cat20002-productos-frescos,1,554201,vc4aecomm-554201,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,tarta-de-manzana-redonda-500-g,175922,2946552000007,5.99,carrefour,cat20002-productos-frescos,1,175922,vc4aecomm-175922,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,pan-proteico-mediano-ketterer-450-g,295607,8427207003054,4.19,,cat20002-productos-frescos,1,295607,fprod1250088,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,nuggets-de-pollo-carrefour-el-mercado-320-g,367046,8431876354218,2.69,el-mercado,cat20002-productos-frescos,1,367046,vc4aecomm-367046,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,palmera-de-chocolate-carrefour-4-ud,176721,2917596000001,3.65,carrefour,cat20002-productos-frescos,1,176721,527030776,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,queso-fundido-en-porciones-el-caserio-sin-gluten-250-g,003153,8411620001155,2.86,el-caserio,cat20002-productos-frescos,1,003153,521030594,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,pan-de-molde-rustico-600-g,688260,8431876299434,2.13,carrefour,cat20002-productos-frescos,1,688260,525964718,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,longaniza-roja-carrefour-500-g-aprox,058980,2956828000006,3.34,carrefour,cat20002-productos-frescos,1,058980,vc4aecomm-058980,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,cebolla-echalotte-carrefour-250-g,795911,8431876150353,1.53,carrefour,cat20002-productos-frescos,1,795911,521031961,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,pechuga-de-pavo-cocida-en-lonchas-finas-elpozo-1954-sin-gluten-y-sin-lactosa-120-g,710961,8410843131335,2.69,el-pozo,cat20002-productos-frescos,1,710961,vc4aecomm-710961,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,paleta-de-cebo-iberica-50-raza-iberica-carrefour-el-mercado-90-g,243202,8431876344257,4.85,el-mercado,cat20002-productos-frescos,1,243202,vc4aecomm-243202,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,12,salami-extra-en-lonchas-carrefour-el-mercado-2x120-g,248782,8431876345292,2.15,el-mercado,cat20002-productos-frescos,1,248782,vc4aecomm-248782,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,queso-en-lonchas-proteina-plus-carrefour-sensation-150-g,422061,8431876280173,2.65,carrefour,cat20002-productos-frescos,1,422061,vc4aecomm-422061,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,14,solomillo-de-cerdo-extratiernos-elpozo-750-g-aprox,952417,2980605000002,8.17,,cat20002-productos-frescos,1,952417,820613828,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,panecillo-de-centeno-51-6-ud,498735,8437016823149,1.55,,cat20002-productos-frescos,1,498735,vc4aecomm-498735,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,queso-semicurado-en-lonchas-mezcla-garcia-baquero-200-g,414672,8412289000879,3.89,garcia-baquero,cat20002-productos-frescos,1,414672,521030527,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,caracolas-de-fruta-carrefour-4-ud,061007,2968377000000,3.65,,cat20002-productos-frescos,1,061007,680401681,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,queso-semicurado-mezcla-graso-garcia-baquero-300-g-aprox,399048,2929444000002,5.01,,cat20002-productos-frescos,1,399048,533401627,carrefour,carrefour,home_delivery|drive,,cuna-de-14|cuna-de-18|medio-queso|queso-entero
EUR,catalog,19,almeja-japonica-fresca-500-g,815739,8437007645101,11.05,,cat20002-productos-frescos,1,815739,645501796,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,20,espaguetis-carbonara-carrefour-el-mercado-280-g,721710,8431876337570,2.2,carrefour,cat20002-productos-frescos,1,721710,vc4aecomm-721710,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,queso-camembert-caprice-des-dieux-200-g,683446,3161710000128,4.35,caprice-des-deux,cat20002-productos-frescos,1,683446,vc4aecomm-683446,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,22,jamon-cocido-receta-clasica-noel-sin-gluten-y-sin-lactosa-250-g-aprox,693847,2952785000004,2.5,noel,cat20002-productos-frescos,1,693847,vc4aecomm-693847,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-normal-23mm|loncha-gruesa-34mm
EUR,catalog,23,filetes-de-pechuga-de-pavo-marinado-carrefour-el-mercado-500-g-aprox,190920,2944047000006,4.94,carrefour,cat20002-productos-frescos,1,190920,vc4aecomm-190920,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,jamon-de-pavo-bajo-en-grasa-sin-azucares-el-pozo-bienstar-sin-gluten-y-sin-lactosa-380-g,710252,8410843100799,3.99,el-pozo,cat20002-productos-frescos,1,710252,vc4aecomm-710252,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
