currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,item_variant,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount
EUR,catalog,1,pan-de-antano-carrefour-1-ud,219164,8431876276022,1.65,carrefour,cat20002-productos-frescos,pieza|en-rebanadas,1,219164,fprod1180084,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,judia-ancha-350-g,488114,8437012989061,2.05,,cat20002-productos-frescos,,1,488114,vc4aecomm-488114,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,tomate-natural-rallado-carrefour-230-g,186169,8431876312249,1.0,carrefour,cat20002-productos-frescos,,1,186169,vc4aecomm-186169,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_todo-a-1-,
EUR,catalog,4,manzana-golden-carrefour-15-kg-aprox,531314,2907320000001,2.92,carrefour,cat20002-productos-frescos,,1,531314,vc4aecomm-531314,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,cebolla-dulce-carrefour-500-g,795906,8431876150346,1.88,carrefour,cat20002-productos-frescos,,1,795906,521032281,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,pan-de-chapata-gourmet-carrefour-380-g,262280,2937123000007,1.45,carrefour,cat20002-productos-frescos,,1,262280,525964670,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,queso-fresco-classic-carrefour-500-g,423570,8431876352252,1.99,carrefour,cat20002-productos-frescos,,1,423570,vc4aecomm-423570,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,queso-de-untar-light-classic-carrefour-300-g,918952,8431876328318,1.5,carrefour,cat20002-productos-frescos,,1,918952,804713850,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,manzana-roja-15-kg-aprox,531337,2907322000009,2.98,carrefour,cat20002-productos-frescos,,1,531337,vc4aecomm-531337,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,pechuga-de-pavo-cocida-en-lonchas-finas-campofrio-finissimas-sin-gluten-y-sin-lactosa-115-g,699370,8410320001809,2.15,pavofrio,cat20002-productos-frescos,,1,699370,vc4aecomm-699370,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,dorada-de-racion-carrefour-600-g-aprox,033389,2901791000003,5.25,carrefour,cat20002-productos-frescos,entero|entero-limpio|rodajas|filetes|filetes-sin-piel|espalda-con-espina|espalda-sin-espina,1,033389,628108203,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,jamon-cocido-extra-en-lonchas-sin-colorantes-edicion-1954-elpozo-sin-gluten-y-sin-lactosa-120-g,710204,8410843144007,1.99,el-pozo,cat20002-productos-frescos,,1,710204,prod261142,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,rucula-y-canonigo-carrefour-el-mercado-100-g,108556,8431876254297,1.35,carrefour,cat20002-productos-frescos,,1,108556,prod160425,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,salchichas-frankfurt-campofrio-sin-gluten-sin-lactosa-pack-de-4-unidades-de-140-g,177375,8410320127363,2.25,campofrio,cat20002-productos-frescos,,1,177375,531705139,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,pan-burger-brioche-carrefour-el-mercado-260-g,308678,2911147000007,2.83,carrefour,cat20002-productos-frescos,,1,308678,vc4aecomm-308678,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,trenza-maple-pecan-98-g,497528,5701014071370,0.85,,cat20002-productos-frescos,,1,497528,vc4aecomm-497528,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,kiwi-1-kg-aprox,036041,2902449000000,3.15,,cat20002-productos-frescos,,1,036041,530066908,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,bollo-de-petitas-chocolate-con-leche-weikis-la-bella-easo-6-ud,415187,8410099571794,2.85,la-bella-easo,cat20002-productos-frescos,,1,415187,521007263,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,19,alas-de-pollo-carrefour-1-kg-aprox,293104,2966982000002,4.35,carrefour,cat20002-productos-frescos,troceados|enteras,1,293104,773501317,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,manzana-granny-circulo-de-calidad-1-kg,261963,2921819000006,2.09,circulo-de-calidad,cat20002-productos-frescos,,1,261963,529921821,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,caballa-13-kg-aprox,033451,2901834000007,5.84,,cat20002-productos-frescos,entero|entero-limpio|rodajas|espalda-con-espina,1,033451,628108219,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,4.55
EUR,catalog,22,queso-cheddar-en-lonchas-carrefour-200-g,695537,3560070168651,1.99,carrefour,cat20002-productos-frescos,,1,695537,521030715,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,panecillos-tostados-clasicos-carrefour-extra-300-g,653635,8431876296617,1.13,carrefour,cat20002-productos-frescos,,1,653635,vc4aecomm-653635,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,queso-fresco-classic-carrefour-250-g,423583,8431876352269,1.09,carrefour,cat20002-productos-frescos,,1,423583,vc4aecomm-423583,carrefour,carrefour,home_delivery|drive,,
