currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount,item_variant
EUR,catalog,1,filetes-de-lomo-bajo-de-anojo-circulo-de-calidad-500-g-aprox,390821,2995269000008,8.14,circulo-de-calidad,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,390821,fprod1460210,carrefour,carrefour,home_delivery|drive,3.26,
EUR,catalog,2,jamon-cocido-extra-estilo-sajonia-ecologico-en-lonchas-carrefour-sin-lactosa-100-g,625763,8431876299557,2.95,carrefour-bio,cat20002-productos-frescos,1,,625763,vc4aecomm-625763,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,queso-en-lonchas-de-oveja-carrefour-200-g,584087,8431876098983,3.15,carrefour,cat20002-productos-frescos,1,,584087,521030535,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,fuet-extra-dolot-en-canitas-espuna-50-g,802590,8410060840003,1.79,espuna,cat20002-productos-frescos,1,,802590,625801630,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,queso-brie-snacking-president-180-g,683742,3038910012025,3.65,president,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,683742,vc4aecomm-683742,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,jamon-cocido-carrefour-el-mercado-150-g-aprox,618325,2999308000004,1.62,carrefour,cat20002-productos-frescos,1,,618325,vc4aecomm-618325,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,7,manzana-ambrosia-seleccion-4-ud-1-kg-aprox,061065,2983898000001,4.15,,cat20002-productos-frescos,1,,061065,852100340,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,rallado-sabor-mozzarella-violife-sin-gluten-y-sin-lactosa-200-g,253418,5202390019319,3.99,violife,cat20002-productos-frescos,1,,253418,fprod1200165,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,queso-rallado-mozzarella-margui-300-g,519315,8432022001246,3.15,,cat20002-productos-frescos,1,,519315,vc4aecomm-519315,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,lomo-gran-reserva-ya-cortado-espana-e-hijos-200-g,238001,8428204006208,4.49,,cat20002-productos-frescos,1,,238001,fprod1190250,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,jamon-cocido-bajo-en-grasa-reducido-en-sal-en-lonchas-campofrio---cuida-t-sin-gluten-sin-lactosa-65-g,698955,8410320267557,0.99,cuidat,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,698955,vc4aecomm-698955,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,queso-fresco-de-burgos-el-ventero-1-kg,388851,8410285542683,6.79,el-ventero,cat20002-productos-frescos,1,,388851,700507675,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,hamburguesa-de-pollo-360-g,497342,8431876291681,3.39,carrefour,cat20002-productos-frescos,1,,497342,vc4aecomm-497342,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,morcilla-de-burgos-de-nuestra-tierra-350-g-aprox,454965,2996502000007,2.43,de-nuestra-tierra,cat20002-productos-frescos,1,,454965,vc4aecomm-454965,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,bacon-ahumado-en-lonchas-el-pozo-pack-de-2-unidades-de-180-g-envase-de-360-g,194807,8410843128175,5.25,el-pozo,cat20002-productos-frescos,1,,194807,590503030,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,croquetas-de-jamon-iberico-360-g,039590,8436046210097,2.99,,cat20002-productos-frescos,1,,039590,677310427,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,aguacate-con-queso-de-cabra-carrefour-el-mercado-125-g,313262,8431876351514,2.15,carrefour,cat20002-productos-frescos,1,,313262,prod1022495,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,mini-snack-de-fuet-xxl-campofrio-sin-gluten-140-g,128518,8410320360371,3.99,campofrio,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,128518,vc4aecomm-128518,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,filete-de-dorada-carrefour-el-mercado-240-g-aprox,342464,2981830000003,5.51,carrefour,cat20002-productos-frescos,1,,342464,vc4aecomm-342464,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,queso-tierno-enrollado-minirolls-babybel-85-g,853112,3073781067057,2.79,mini-babybel,cat20002-productos-frescos,1,,853112,prod720449,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,preparado-de-paella-de-marisco-congelado-600-g,847583,8410809136275,3.99,carrefour,cat20002-productos-frescos,1,,847583,prod690175,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,pate-a-las-finas-hierbas-carrefour-el-mercado-sin-gluten-100-g,187488,8431876343823,1.45,carrefour,cat20002-productos-frescos,1,,187488,vc4aecomm-187488,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,alas-de-pollo-congeladas-1-kg,413309,5760725231244,4.09,,cat20002-productos-frescos,1,,413309,fprod1480188,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,jamon-curado-de-teruel-en-lonchas-cortado-a-cuchillo-de-nuestra-tierra-80-g,351370,8431876353389,4.95,de-nuestra-tierra,cat20002-productos-frescos,1,,351370,vc4aecomm-351370,carrefour,carrefour,home_delivery|drive,,
