currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount
EUR,catalog,1,antical-para-lavadora-en-pastillas-classic-protect-expert-carrefour-40-ud,373716,3560071519902,3.19,carrefour-expert,cat20005-limpieza-y-hogar,1,373716,vc4a-2664109,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,limpiador-antical-liquido-viakal-clasico-750-ml,527127,5413149119895,4.95,viakal,cat20005-limpieza-y-hogar,1,527127,521028538,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,ambientador-de-varillas-bebe-y-colonia-aura-30-ml,296532,8436571512239,1.41,,cat20005-limpieza-y-hogar,1,296532,fprod1250032,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,papel-higienico-humedo-con-aloe-vera-sensitive-scottex-66-ud,088205,5029053562858,3.29,scottex,cat20005-limpieza-y-hogar,1,088205,855700412,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,5,bolsas-para-asar-al-horno-y-microondas-carrefour-8-ud,336288,8431876277722,1.48,carrefour,cat20005-limpieza-y-hogar,1,336288,fprod1330018,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,palillos-redondos-torneados-de-madera-unic-de-550-piezas,572634,8410755190208,1.55,unic,cat20005-limpieza-y-hogar,1,572634,vc4a-17510720,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,suavizante-concentrado-azul-flor-elixir-63-lavados,177037,8410104913748,6.39,flor-elixir,cat20005-limpieza-y-hogar,1,177037,vc4aecomm-177037,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,8,lavavajillas-a-maquina-en-pastillas-power-all-in-1-finish-powerball-63-ud,216683,8410104893057,18.99,finish-todo-en-1,cat20005-limpieza-y-hogar,1,216683,prod1170162,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,9,limpiador-de-amoniaco-con-detergente,865839,8421335002293,1.29,disiclin,cat20005-limpieza-y-hogar,1,865839,prod261891,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,suavizante-concentrado-talco-sublim-80-lavados,507347,8410046810471,1.99,sublim,cat20005-limpieza-y-hogar,1,507347,vc4aecomm-507347,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,antipolillas-pastillas-perfumadas-lavanda-fresca-polil-24-ud,793319,5000204705027,3.95,polil,cat20005-limpieza-y-hogar,1,793319,521001906,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,12,detergente-gel-activo-formula-higiene-colon-100-lavados,085534,8410104911072,24.5,colon,cat20005-limpieza-y-hogar,1,085534,vc4aecomm-085534,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,0.6
EUR,catalog,13,detergente-liquido-optimal-clen-expert-39-lavados,302318,3560071494100,4.39,carrefour-expert,cat20005-limpieza-y-hogar,1,302318,vc4aecomm-302318,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,quitagrasas-cillit-bang-750-ml,613354,8410104004415,5.55,cillit-bang,cat20005-limpieza-y-hogar,1,613354,521001440,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,15,ambientador-electrico-flores-elegantes-3volution-recambio-ambi-pur-1-ud,943540,4015600450311,5.95,ambi-pur,cat20005-limpieza-y-hogar,1,943540,816213769,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,16,ambientador-spray-automatico-sin-aerosol-aroma-flor-de-jazmin-active-fresh-recambio-air-wick-1-ud,131512,8410104913786,6.75,air-wick-active-fresh,cat20005-limpieza-y-hogar,1,131512,vc4aecomm-131512,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,17,discos-wc-activos-inodoros-frescor-marino-recambio-pato-2-ud,298759,5000204593198,5.45,pato-wc,cat20005-limpieza-y-hogar,1,298759,583401543,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
