currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,discount
EUR,catalog,1,chorizo-en-lonchas-revilla-sin-gluten-65-g,698652,8410320035620,0.99,revilla,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,698652,vc4aecomm-698652,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,barra-grande-extra-carrefour-1-ud,240795,8431876276145,1.29,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio---lotes,240795,fprod1190377,carrefour,carrefour,home_delivery|drive,pieza|en-rebanadas,
EUR,catalog,3,cebolla-roja-carrefour-500-g,795908,8431876150360,1.45,carrefour,cat20002-productos-frescos,1,,795908,521029168,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,ciabatta-cristal-gouda-1-ud,651650,8424465944075,0.43,,cat20002-productos-frescos,1,,651650,vc4aecomm-651650,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,salchichas-frankfurt-carrefour-pack-de-4-unidades-170-g,399385,8431876279856,1.75,carrefour,cat20002-productos-frescos,1,,399385,fprod1460360,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,masa-de-hojaldre-carrefour-classic-230-g,314788,8012666015122,1.1,carrefour,cat20002-productos-frescos,1,,314788,663201866,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,panecillo-blanco-11-ud,498741,8437016823125,1.09,,cat20002-productos-frescos,1,,498741,vc4aecomm-498741,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,fiambre-de-pechuga-de-pavo-en-lonchas-campofrio-sin-gluten-y-sin-lactosa-75-g,698818,8410320398176,0.99,campofrio,cat20002-productos-frescos,1,,698818,vc4aecomm-698818,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,lima-carrefour-300-g,485748,8431876290868,0.99,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_todo-a-1-,485748,vc4aecomm-485748,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,queso-rallado-grana-padano-dop-carrefour-extra-100-g,557685,3560071455804,1.8,carrefour,cat20002-productos-frescos,1,,557685,521030754,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,costilla-de-cerdo-semicarnuda-carrefour-700-g-aprox,006822,2956269000009,3.61,el-mercado,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,006822,vc4aecomm-006822,carrefour,carrefour,home_delivery|drive,enteras|troceado,0.23
EUR,catalog,12,coliflor-carrefour-2-kg-aprox,679710,2952497000002,3.5,carrefour,cat20002-productos-frescos,1,,679710,vc4aecomm-679710,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,mango-carrefour-en-bandeja-2-ud-600-g,371673,8431876283099,2.15,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,371673,fprod1430075,carrefour,carrefour,home_delivery|drive,,1.2
EUR,catalog,14,jamon-cocido-en-lonchas-campofrio-sin-gluten-y-sin-lactosa-75-g,698858,8410320398244,0.99,campofrio,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,698858,vc4aecomm-698858,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,traseros-de-pollo-carrefour-15-kg-aprox,765475,2973178000005,4.48,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_-10-acumulacion,765475,767508125,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,naranjas-de-zumo-carrefour-el-mercado-3-kg,235308,8431876027297,3.65,carrefour,cat20002-productos-frescos,1,,235308,547901667,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,bacon-en-cintas-casa-tarradellas-sin-gluten-pack-de-2-unidades-de-100-g,698152,8410762210418,2.09,casa-tarradellas,cat20002-productos-frescos,1,,698152,vc4aecomm-698152,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,berlinas-bombon-donuts-4-ud,488506,8410022109674,2.99,donuts,cat20002-productos-frescos,1,,488506,715505824,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,traseros-de-pollo-carrefour-1-kg-aprox,131626,2945893000004,2.99,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_-10-acumulacion,131626,vc4aecomm-131626,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,canonigos-carrefour-el-mercado-125-g,261722,8431876034684,1.09,carrefour,cat20002-productos-frescos,1,,261722,521032341,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,jamon-cocido-extra-campofrio-al-corte-150-g-aprox,892550,2977286000001,1.93,campofrio,cat20002-productos-frescos,1,,892550,793945569,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,22,pan-carrefour-5-ud,427706,2970271000000,1.19,carrefour,cat20002-productos-frescos,1,,427706,711411255,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,queso-tierno-en-lonchas-carrefour-200-g,424955,8431876060010,2.05,carrefour,cat20002-productos-frescos,1,,424955,521030523,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,pimiento-verde-lamuyo--granel-1-kg-aprox,050236,2904042000005,2.79,,cat20002-productos-frescos,1,,050236,548801612,carrefour,carrefour,home_delivery|drive,,
