currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount,item_variant
EUR,catalog,1,fuet-original-navidul-150-g,710006,8410320288255,3.55,navidul,cat20002-productos-frescos,1,710006,vc4aecomm-710006,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,filetes-de-lomo-bajo-de-anojo-circulo-de-calidad-500-g-aprox,390821,2995269000008,8.14,circulo-de-calidad,cat20002-productos-frescos,1,390821,fprod1460210,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,3.26,
EUR,catalog,3,queso-puro-de-oveja-viejo-graso-flor-de-esgueva-cuna-400-g,712249,8410285193755,12.39,flor-de-esgueva,cat20002-productos-frescos,1,712249,vc4aecomm-712249,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,4,jamon-cocido-bajo-en-grasa-reducido-en-sal-en-lonchas-campofrio---cuida-t-sin-gluten-sin-lactosa-65-g,698955,8410320267557,0.99,cuidat,cat20002-productos-frescos,1,698955,vc4aecomm-698955,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,5,lomo-de-salmon-calidad-y-origen-carrefour-400-g-aprox,295106,2987699000000,9.96,circulo-de-calidad,cat20002-productos-frescos,1,295106,prod261161,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,6,entrecot-de-vacuno-carrefour-el-mercado-500-g-aprox,133770,2945915000005,10.2,el-mercado,cat20002-productos-frescos,1,133770,vc4aecomm-133770,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,7,pera-blanquilla-carrefour-15-kg-aprox,531316,2907321000000,3.52,carrefour,cat20002-productos-frescos,1,531316,vc4aecomm-531316,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,8,cappelletti-jamon-buitoni-230-g,462930,8001665724166,3.19,buitoni,cat20002-productos-frescos,1,462930,vc4aecomm-462930,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,9,queso-fundido-en-porciones-light-la-vaca-que-rie-sin-gluten-250-g,002774,8410259103049,2.79,la-vaca-que-rie,cat20002-productos-frescos,1,002774,521030604,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,10,queso-fresco-natural-campolindo-500-g,762583,8410285807928,3.35,campolindo,cat20002-productos-frescos,1,762583,804031205,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,11,pate-de-atun-casa-tarradellas-sin-gluten-125-g,002669,8410762002228,1.5,casa-tarradellas,cat20002-productos-frescos,1,002669,521006594,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/2unYrLHkBODnG8idXxbgV4SUuuw_ahora-mas-barato,,
EUR,catalog,12,pan-de-molde-de-maiz-y-semillas-de-girasol-400-g,504081,8431876311846,1.88,carrefour,cat20002-productos-frescos,1,504081,vc4aecomm-504081,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,13,hamburguesa-de-pollo-y-pavo-con-espinacas-carrefour-540-g,630209,8431876302653,4.89,carrefour,cat20002-productos-frescos,1,630209,vc4aecomm-630209,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,14,crema-de-queso-natural-arla-200-g,128523,5711953158421,2.19,arla,cat20002-productos-frescos,1,128523,vc4aecomm-128523,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,15,colas-de-langostino-al-ajillo-aguinamar-105-g,114810,8437010119613,3.49,,cat20002-productos-frescos,1,114810,533001742,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,16,empanada-rectangular-de-pollo-con-champinones-carrefour-700-g,555467,2998037000002,5.5,carrefour,cat20002-productos-frescos,1,555467,vc4aecomm-555467,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,17,queso-parmesano-reggiano-parmareggio-150-g,129593,8010721002049,5.95,parmareggio,cat20002-productos-frescos,1,129593,vc4aecomm-129593,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,18,coco-de-agua-selecta-bio-peso-min-800-g,985815,8437015393001,2.05,,cat20002-productos-frescos,1,985815,prod69998,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,19,longaniza-fresca-estilo-criollo-carrefour-el-mercado-320-g-aprox,522688,2900567000001,2.5,carrefour,cat20002-productos-frescos,1,522688,vc4aecomm-522688,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,20,mini-snack-de-fuet-xxl-campofrio-sin-gluten-140-g,128518,8410320360371,3.99,campofrio,cat20002-productos-frescos,1,128518,vc4aecomm-128518,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,21,pollo-certificado-limpio-carrefour-2-kg,887242,2976928000003,8.3,carrefour,cat20002-productos-frescos,1,887242,791562917,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,22,jamon-cocido-carrefour-el-mercado-150-g-aprox,618325,2999308000004,1.62,carrefour,cat20002-productos-frescos,1,618325,vc4aecomm-618325,carrefour,carrefour,home_delivery|drive,,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,23,carne-de-anojo-troceada-para-guisar-circulo-de-calidad-600-g-aprox,126585,2992716000000,9.63,circulo-de-calidad,cat20002-productos-frescos,1,126585,prod1070042,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,24,queso-mozzarella-di-bufala-campana-galbani-125-g,196268,8000430130164,3.99,galbani,cat20002-productos-frescos,1,196268,521033787,carrefour,carrefour,home_delivery|drive,,,
