currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount,item_variant
EUR,catalog,1,bacon-en-lonchas-carrefour-el-mercado-sin-gluten-200-g,710687,8431876067392,1.99,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,710687,vc4aecomm-710687,carrefour,carrefour,home_delivery|drive,0.26,
EUR,catalog,2,panecillo-gran-reserva-carrefour-1-ud,902215,8431876353198,0.32,carrefour,cat20002-productos-frescos,1,,902215,prod211488,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,queso-edam-en-lonchas-carrefour-200-g,559836,3560070417933,1.57,carrefour,cat20002-productos-frescos,1,,559836,521030728,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,berenjena-carrefour-a-granel-1-kg-aprox,394518,2929048000002,1.89,carrefour,cat20002-productos-frescos,1,,394518,vc4aecomm-394518,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,baguette-2-ud,126922,8431876214222,0.96,carrefour,cat20002-productos-frescos,1,,126922,584501495,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,queso-mozzarella-italiana-carrefour-125-g,510743,3560070285846,0.95,carrefour,cat20002-productos-frescos,1,,510743,521030590,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,brocoli-carrefour-500-g,078932,8431876272123,1.19,carrefour,cat20002-productos-frescos,1,,078932,prod1000504,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,berlina-glace-donuts-4-ud,488502,8410022109643,2.85,donuts,cat20002-productos-frescos,1,,488502,715505820,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,puerro-manojo-de-3-4--piezas,779201,8431876324143,1.75,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,779201,vc4aecomm-779201,carrefour,carrefour,home_delivery|drive,0.5,
EUR,catalog,10,bollito-recubierto-de-chocolate-clasicos-donettes-8-ud,682477,8410022116702,2.75,donettes,cat20002-productos-frescos,1,,682477,vc4aecomm-682477,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,zanahoria-circulo-de-calidad-500-g-aprox,369458,8431876282665,0.89,circulo-de-calidad,cat20002-productos-frescos,1,,369458,fprod1420336,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,patata-lavada-para-todo-uso-carrefour-el-mercado-5-kg,793632,8431876145915,6.95,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_-10-acumulacion,793632,525888361,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,esparrago-verde-fino-carrefour-el-mercado-250-g,335208,8431876352795,2.09,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,335208,vc4aecomm-335208,carrefour,carrefour,home_delivery|drive,0.4,
EUR,catalog,14,queso-de-untar-clasico-carrefour-classic-300-g,918951,8431876328301,1.5,carrefour,cat20002-productos-frescos,1,,918951,804713848,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,barra-rustica-1-ud,423920,8436590721377,0.71,carrefour,cat20002-productos-frescos,1,,423920,vc4aecomm-423920,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,cebolleta-blanca-manojo-de-3-4--piezas,050295,8437001904044,0.99,,cat20002-productos-frescos,1,,050295,521032283,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,pan-de-leche-carrefour-classic-350-g,835359,8431876279139,1.28,carrefour,cat20002-productos-frescos,1,,835359,prod550021,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,manzana-golden-circulo-de-calidad-a-granel-1-kg-aprox,261962,2921818000007,1.85,circulo-de-calidad,cat20002-productos-frescos,1,,261962,532601637,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,limon-carrefour-a-granel-1kg-aprox,100139,2957432000000,2.29,carrefour,cat20002-productos-frescos,1,,100139,vc4aecomm-100139,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,pan-pannier-plus-mediana-300-g,859573,8431876283877,1.25,carrefour,cat20002-productos-frescos,1,,859573,prod760139,carrefour,carrefour,home_delivery|drive,,pieza|en-rebanadas
EUR,catalog,21,borek-de-queso-100-g,399646,2995749000009,1.05,,cat20002-productos-frescos,1,,399646,fprod1460425,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,mandarina-para-zumo-carrefour-malla-de-2-kg,531345,8431876361537,2.78,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,531345,vc4aecomm-531345,carrefour,carrefour,home_delivery|drive,1.12,
EUR,catalog,23,ajo-circulo-de-calidad-250-g,496386,8431876082883,2.05,circulo-de-calidad,cat20002-productos-frescos,1,,496386,521031667,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,cebolla-granel-carrefour-1-kg-aprox,645285,2999753000000,2.59,carrefour,cat20002-productos-frescos,1,,645285,vc4aecomm-645285,carrefour,carrefour,home_delivery|drive,,
