Hora de captura,Categoria,Descripció,Preu unitari,Preu/kg,URL,Imatge,Promoció,Preu unitari pre-descompte,Preu/kg pre-descompte,Disponibilitat,Característiques
17:00:30,Productos Frescos,Fresón tarrina origen Huelva 500 g,"2,45 €","4,90 €/kg",https://www.carrefour.es/supermercado/freson-tarrina-origen-huelva-500-g/R-521032196/p,https://static.carrefour.es/hd_350x_/img_pim_food/035923_00_1.jpg,,,,Disponible,[]
17:00:30,Productos Frescos,Banana a granel 1 Kg aprox,,"1,09 €/kg",https://www.carrefour.es/supermercado/banana-a-granel-1-kg-aprox/R-529921745/p,https://static.carrefour.es/hd_350x_/img_pim_food/035834_00_1.jpg,,,,Agotado temporalmente,[]
17:00:30,Productos Frescos,Espinacas en hojas Findus 1 kg.,"5,45 €","5,45 €/kg",https://www.carrefour.es/supermercado/espinacas-en-hojas-findus-1-kg/R-714518114/p,https://static.carrefour.es/hd_350x_/img_pim_food/435038_00_1.jpg,,,,Disponible,['']
17:00:30,Productos Frescos,Crema de queso de untar light Philadelphia pack de 2 unidades de 250 g.,"4,89 €","9,78 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-de-untar-light-philadelphia-pack-de-2-unidades-de-250-g/R-854600353/p,https://static.carrefour.es/hd_350x_/img_pim_food/084427_00_1.jpg,,,,Disponible,[]
17:00:30,Productos Frescos,Barra de pan pistola Carrefour 250 g,"0,46 €","1,84 €/kg",https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-250-g/R-527063193/p,https://static.carrefour.es/hd_350x_/img_pim_food/216537_00_1.jpg,,,,Disponible,['']
17:00:30,Productos Frescos,Plátano Carrefour 900 g aprox,"2,87 €","3,19 €/kg",https://www.carrefour.es/supermercado/platano-carrefour-900-g-aprox/R-VC4AECOMM-779025/p,https://static.carrefour.es/hd_350x_/img_pim_food/779025_00_1.jpg,,,,Disponible,[]
17:00:30,Productos Frescos,Queso rallado mozzarella Carrefour 200 g.,"1,59 €","7,95 €/kg",https://www.carrefour.es/supermercado/queso-rallado-mozzarella-carrefour-200-g/R-521030768/p,https://static.carrefour.es/hd_350x_/img_pim_food/710785_00_1.jpg,,,,Disponible,[]
17:00:30,Productos Frescos,Barra de pan pistola Carrefour 3 ud,"1,09 €","0,36 €/ud",https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-3-ud/R-575702279/p,https://static.carrefour.es/hd_350x_/img_pim_food/668138_00_1.jpg,,,,Disponible,[]
17:00:30,Productos Frescos,Baguette Carrefour 1 ud,"0,55 €","2,20 €/kg",https://www.carrefour.es/supermercado/baguette-carrefour-1-ud/R-525964668/p,https://static.carrefour.es/hd_350x_/img_pim_food/262274_00_1.jpg,,,,Disponible,[]
17:00:30,Productos Frescos,Crema de queso light Philadelphia 350 g.,"3,65 €","10,43 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-light-philadelphia-350-g/R-704404249/p,https://static.carrefour.es/hd_350x_/img_pim_food/409338_00_1.jpg,,,,Disponible,[]
