Data de captura,Hora de captura,Categoria,Descripció,Preu unitari,Preu/kg,URL,Imatge,Disponibilitat
06-04-2025,10:03:14,Productos Frescos,Naranja de mesa Carrefour 1 Kg aprox,,"1,39 €/kg",https://www.carrefour.es/supermercado/naranja-de-mesa-carrefour-1-kg-aprox/R-VC4AECOMM-494114/p,https://static.carrefour.es/hd_350x_/img_pim_food/494114_00_1.jpg,Disponible
06-04-2025,10:03:15,Productos Frescos,Patata lavada para todo uso Carrefour 3 kg,,"1,19 €/kg",https://www.carrefour.es/supermercado/patata-lavada-para-todo-uso-carrefour-3-kg/R-596701537/p,https://static.carrefour.es/hd_350x_/img_pim_food/343849_00_1.jpg,Disponible
06-04-2025,10:03:15,Productos Frescos,Panecillo gran reserva Carrefour 1 ud,"0,32 €","4,92 €/kg",https://www.carrefour.es/supermercado/panecillo-gran-reserva-carrefour-1-ud/R-prod211488/p,https://static.carrefour.es/hd_350x_/img_pim_food/902215_00_1.jpg,Disponible
06-04-2025,10:03:15,Productos Frescos,Berenjena Carrefour a granel 1 kg aprox,"1,89 €","1,89 €/kg",https://www.carrefour.es/supermercado/berenjena-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-394518/p,https://static.carrefour.es/hd_350x_/img_pim_food/394518_00_1.jpg,Disponible
06-04-2025,10:03:15,Productos Frescos,Queso edam en lonchas Carrefour 200 g.,"1,57 €","7,85 €/kg",https://www.carrefour.es/supermercado/queso-edam-en-lonchas-carrefour-200-g/R-521030728/p,https://static.carrefour.es/hd_350x_/img_pim_food/559836_00_1.jpg,Disponible
06-04-2025,10:03:15,Productos Frescos,Queso mozzarella Italiana Carrefour 125 g.,"0,95 €","7,60 €/kg",https://www.carrefour.es/supermercado/queso-mozzarella-italiana-carrefour-125-g/R-521030590/p,https://static.carrefour.es/hd_350x_/img_pim_food/510743_00_1.jpg,Disponible
06-04-2025,10:03:15,Productos Frescos,Baguette 2 ud,"0,96 €","1,92 €/kg",https://www.carrefour.es/supermercado/baguette-2-ud/R-584501495/p,https://static.carrefour.es/hd_350x_/img_pim_food/126922_00_1.jpg,Disponible
06-04-2025,10:03:15,Productos Frescos,Brócoli Carrefour 500 g,"1,19 €","2,38 €/kg",https://www.carrefour.es/supermercado/brocoli-carrefour-500-g/R-prod1000504/p,https://static.carrefour.es/hd_350x_/img_pim_food/078932_00_1.jpg,Disponible
06-04-2025,10:03:54,Productos Frescos,Espárrago verde fino Carrefour El Mercado 250 g,,"8,36 €/kg",https://www.carrefour.es/supermercado/esparrago-verde-fino-carrefour-el-mercado-250-g/R-VC4AECOMM-335208/p,https://static.carrefour.es/hd_350x_/img_pim_food/335208_00_1.jpg,Disponible
06-04-2025,10:03:54,Productos Frescos,Pepino Carrefour a granel 1 kg aprox,"1,79 €","1,79 €/kg",https://www.carrefour.es/supermercado/pepino-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-451456/p,https://static.carrefour.es/hd_350x_/img_pim_food/451456_00_1.jpg,Agotado temporalmente
06-04-2025,10:03:54,Productos Frescos,Bollito recubierto de chocolate clasicos Donettes 8 ud.,"2,75 €","18,09 €/kg",https://www.carrefour.es/supermercado/bollito-recubierto-de-chocolate-clasicos-donettes-8-ud/R-VC4AECOMM-682477/p,https://static.carrefour.es/hd_350x_/img_pim_food/682477_00_1.jpg,Disponible
06-04-2025,10:03:54,Productos Frescos,Limón Carrefour a granel 1kg aprox,"2,29 €","2,29 €/kg",https://www.carrefour.es/supermercado/limon-carrefour-a-granel-1kg-aprox/R-VC4AECOMM-100139/p,https://static.carrefour.es/hd_350x_/img_pim_food/100139_00_1.jpg,Disponible
