Descripció,Preu unitari,Preu/kg,URL,Imatge
Fresón tarrina origen Huelva 500 g,"2,45 €","4,90 €/kg",https://www.carrefour.es/supermercado/freson-tarrina-origen-huelva-500-g/R-521032196/p,https://static.carrefour.es/hd_350x_/img_pim_food/035923_00_1.jpg
Banana a granel 1 Kg aprox,,"1,09 €/kg",https://www.carrefour.es/supermercado/banana-a-granel-1-kg-aprox/R-529921745/p,https://static.carrefour.es/hd_350x_/img_pim_food/035834_00_1.jpg
Crema de queso Original Philadelphia 350 g.,"3,65 €","10,43 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-original-philadelphia-350-g/R-704404251/p,https://static.carrefour.es/hd_350x_/img_pim_food/409343_00_1.jpg
Crema de queso light Philadelphia 350 g.,"3,65 €","10,43 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-light-philadelphia-350-g/R-704404249/p,https://static.carrefour.es/hd_350x_/img_pim_food/409338_00_1.jpg
Barra de pan pistola Carrefour 250 g,"0,46 €","1,84 €/kg",https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-250-g/R-527063193/p,https://static.carrefour.es/hd_350x_/img_pim_food/216537_00_1.jpg
Queso rallado mozzarella Carrefour 200 g.,"1,59 €","7,95 €/kg",https://www.carrefour.es/supermercado/queso-rallado-mozzarella-carrefour-200-g/R-521030768/p,https://static.carrefour.es/hd_350x_/img_pim_food/710785_00_1.jpg
Tomate cherry pera 250 g,1 €,4 €/kg,https://www.carrefour.es/supermercado/tomate-cherry-pera-250-g/R-VC4AECOMM-353669/p,https://static.carrefour.es/hd_350x_/img_pim_food/353669_00_1.jpg
Baguette Carrefour 1 ud,"0,55 €","2,20 €/kg",https://www.carrefour.es/supermercado/baguette-carrefour-1-ud/R-525964668/p,https://static.carrefour.es/hd_350x_/img_pim_food/262274_00_1.jpg
Barra de pan pistola Carrefour 3 ud,"1,09 €","0,36 €/ud",https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-3-ud/R-575702279/p,https://static.carrefour.es/hd_350x_/img_pim_food/668138_00_1.jpg
Crema de queso de untar natural Philadelphia pack de 2 unidades de 250 g.,"4,89 €","9,78 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-de-untar-natural-philadelphia-pack-de-2-unidades-de-250-g/R-854600355/p,https://static.carrefour.es/hd_350x_/img_pim_food/084438_00_1.jpg
Zanahoria Carrefour 1 kg,"0,99 €","0,99 €/kg",https://www.carrefour.es/supermercado/zanahoria-carrefour-1-kg/R-fprod1410012/p,https://static.carrefour.es/hd_350x_/img_pim_food/235422_00_1.jpg
"Calabacín Carrefour a granel 1,2 kg aprox",,"1,39 €/kg",https://www.carrefour.es/supermercado/calabacin-carrefour-a-granel-12-kg-aprox/R-VC4AECOMM-431967/p,https://static.carrefour.es/hd_350x_/img_pim_food/431967_00_1.jpg
Tomate pera Carrefour 1 kg aprox,"2,05 €","2,05 €/kg",https://www.carrefour.es/supermercado/tomate-pera-carrefour-1-kg-aprox/R-VC4AECOMM-646403/p,https://static.carrefour.es/hd_350x_/img_pim_food/646403_00_1.jpg
Mandarina Carrefour a granel 1 kg aprox,"2,29 €","2,29 €/kg",https://www.carrefour.es/supermercado/mandarina-carrefour-a-granel-1-kg-aprox/R-fprod1480224/p,https://static.carrefour.es/hd_350x_/img_pim_food/235316_00_1.jpg
Queso rallado cuatro quesos Carrefour 200 g.,,"9,50 €/kg",https://www.carrefour.es/supermercado/queso-rallado-cuatro-quesos-carrefour-200-g/R-521030772/p,https://static.carrefour.es/hd_350x_/img_pim_food/712501_00_1.jpg
Espinacas en hojas Findus 1 kg.,"5,45 €","5,45 €/kg",https://www.carrefour.es/supermercado/espinacas-en-hojas-findus-1-kg/R-714518114/p,https://static.carrefour.es/hd_350x_/img_pim_food/435038_00_1.jpg
Bacón sabor ahumado en tiras Carrefour El Mercado sin gluten pack de 2 unidades de 100 g,"2,59 €","12,95 €/kg",https://www.carrefour.es/supermercado/bacon-sabor-ahumado-en-tiras-carrefour-el-mercado-sin-gluten-pack-de-2-unidades-de-100-g/R-VC4AECOMM-710259/p,https://static.carrefour.es/hd_350x_/img_pim_food/710259_00_1.jpg
Guacamole Carrefour 200 g,"1,69 €","8,45 €/kg",https://www.carrefour.es/supermercado/guacamole-carrefour-200-g/R-prod1160715/p,https://static.carrefour.es/hd_350x_/img_pim_food/208412_00_1.jpg
Tomate ensalada 1 kg aprox,"1,95 €","1,95 €/kg",https://www.carrefour.es/supermercado/tomate-ensalada-1-kg-aprox/R-530067024/p,https://static.carrefour.es/hd_350x_/img_pim_food/050265_00_1.jpg
Pimiento verde Italiano 1 kg aprox,"2,59 €","2,59 €/kg",https://www.carrefour.es/supermercado/pimiento-verde-italiano-1-kg-aprox/R-536001616/p,https://static.carrefour.es/hd_350x_/img_pim_food/050257_00_1.jpg
Crema de queso original Philadelphia sin gluten 250 g.,"2,55 €","10,20 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-original-philadelphia-sin-gluten-250-g/R-VC4AECOMM-548437/p,https://static.carrefour.es/hd_350x_/img_pim_food/548437_00_1.jpg
Cebolla Carrefour 1 kg,"2,40 €","2,40 €/kg",https://www.carrefour.es/supermercado/cebolla-carrefour-1-kg/R-521032276/p,https://static.carrefour.es/hd_350x_/img_pim_food/235457_00_1.jpg
Queso gouda holland en lonchas Carrefour 200 g.,"1,64 €","8,20 €/kg",https://www.carrefour.es/supermercado/queso-gouda-holland-en-lonchas-carrefour-200-g/R-521030730/p,https://static.carrefour.es/hd_350x_/img_pim_food/559857_00_1.jpg
Tomate rama Carrefour 1 kg aprox,"2,05 €","2,05 €/kg",https://www.carrefour.es/supermercado/tomate-rama-carrefour-1-kg-aprox/R-530913262/p,https://static.carrefour.es/hd_350x_/img_pim_food/718723_00_1.jpg
Patata Lavada Carrefour 1 kg aprox,"1,95 €","1,95 €/kg",https://www.carrefour.es/supermercado/patata-lavada-carrefour-1-kg-aprox/R-VC4AECOMM-572092/p,https://static.carrefour.es/hd_350x_/img_pim_food/572092_00_1.jpg
Naranja de mesa Carrefour 1 Kg aprox,,"1,39 €/kg",https://www.carrefour.es/supermercado/naranja-de-mesa-carrefour-1-kg-aprox/R-VC4AECOMM-494114/p,https://static.carrefour.es/hd_350x_/img_pim_food/494114_00_1.jpg
Lechuga iceberg Carrefour 1 ud,,"1,62 €/kg",https://www.carrefour.es/supermercado/lechuga-iceberg-carrefour-1-ud/R-fprod1190510/p,https://static.carrefour.es/hd_350x_/img_pim_food/235341_00_1.jpg
Bacon en lonchas Carrefour El Mercado sin gluten 200 g,,"9,95 €/kg",https://www.carrefour.es/supermercado/bacon-en-lonchas-carrefour-el-mercado-sin-gluten-200-g/R-VC4AECOMM-710687/p,https://static.carrefour.es/hd_350x_/img_pim_food/710687_00_1.jpg
Panecillo gran reserva Carrefour 1 ud,"0,32 €","4,92 €/kg",https://www.carrefour.es/supermercado/panecillo-gran-reserva-carrefour-1-ud/R-prod211488/p,https://static.carrefour.es/hd_350x_/img_pim_food/902215_00_1.jpg
Queso edam en lonchas Carrefour 200 g.,"1,57 €","7,85 €/kg",https://www.carrefour.es/supermercado/queso-edam-en-lonchas-carrefour-200-g/R-521030728/p,https://static.carrefour.es/hd_350x_/img_pim_food/559836_00_1.jpg
